zimmo code,type,price,street,number,postcode,city,living area(m²),ground area(m²),bedroom,bathroom,garage,garden,EPC(kWh/m²),renovation obligation,year built,mobiscore,url
L0J37,Woning (Huis),545000.0,Preshoekstraat,237,8510,Marke,134.0,720.0,3.0,2.0,1.0,True,266.0,False,1978.0,8.0,https://www.zimmo.be/nl/marke-8510/te-koop/huis/L0J37/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=75
KYJ8E,Woning (Huis),525000.0,John Lijsenstraat,7,2321,Meer,158.0,702.0,3.0,1.0,1.0,True,225.0,False,1976.0,4.8,https://www.zimmo.be/nl/meer-2321/te-koop/huis/KYJ8E/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=75
KYU26,Villa (Huis),542000.0,Hof ter Leepslaan,10,3020,Winksele,222.0,50199.0,5.0,2.0,2.0,False,266.0,False,1976.0,8.4,https://www.zimmo.be/nl/winksele-3020/te-koop/huis/KYU26/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=76
KWX1D,Eengezinswoning (Huis),539000.0,Dorpsstraat,26,3790,Moelingen,340.0,882.0,4.0,1.0,1.0,False,266.0,False,1930.0,4.6,https://www.zimmo.be/nl/moelingen-3790/te-koop/huis/KWX1D/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=77
KWOCZ,Villa (Huis),525000.0,Heikruisesteenweg,25,1670,Pepingen,205.0,2107.0,5.0,1.0,1.0,False,616.0,True,1972.0,4.9,https://www.zimmo.be/nl/pepingen-1670/te-koop/huis/KWOCZ/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=78
KXBMQ,Woning (Huis),500000.0,Waterstraat,102,8930,Lauwe,236.0,1500.0,3.0,1.0,1.0,False,200.0,False,1974.0,7.9,https://www.zimmo.be/nl/lauwe-8930/te-koop/huis/KXBMQ/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=78
KUEKZ,Villa (Huis),515000.0,Nieuwstraat,149,3140,Keerbergen,340.0,4312.0,5.0,1.0,1.0,True,1209.0,True,1973.0,6.6,https://www.zimmo.be/nl/keerbergen-3140/te-koop/huis/KUEKZ/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=79
KVXSH,Bungalow (Huis),525000.0,Stationsstraat,74,3080,Vossem,134.0,750.0,3.0,2.0,2.0,True,298.0,False,1993.0,7.6,https://www.zimmo.be/nl/vossem-3080/te-koop/huis/KVXSH/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=79
KLSZR,Woning (Huis),535000.0,Molenstraat,153,8501,Heule,405.0,278.0,3.0,1.0,2.0,True,202.0,False,1937.0,8.8,https://www.zimmo.be/nl/heule-8501/te-koop/huis/KLSZR/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1MDAwMDAsICJtYXgiOiA1NDk5OTl9fX19&p=81
LA06I,Woning (Huis),598000.0,Eugeen Coolsstraat,85,3460,Bekkevoort,276.0,2600.0,4.0,1.0,1.0,True,364.0,False,1900.0,4.9,https://www.zimmo.be/nl/bekkevoort-3460/te-koop/huis/LA06I/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19
L9Z9P,Villa (Huis),595000.0,Millenstraat,15,3960,Bree,342.0,771.0,6.0,2.0,2.0,True,97.0,False,1957.0,8.1,https://www.zimmo.be/nl/bree-3960/te-koop/huis/L9Z9P/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19
L9XHT,Kangoeroewoning (Huis),598000.0,Iepermanlei,27,2610,Wilrijk,239.0,346.0,5.0,3.0,1.0,True,121.0,False,1973.0,8.8,https://www.zimmo.be/nl/wilrijk-2610/te-koop/huis/L9XHT/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=2
L9YTX,Eengezinswoning (Huis),589800.0,Tillegemstraat,34,8200,Sint-Michiels,224.0,601.0,4.0,1.0,1.0,False,369.0,False,1960.0,9.1,https://www.zimmo.be/nl/sint-michiels-8200/te-koop/huis/L9YTX/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=2
L9Y9G,Woning (Huis),579000.0,Berkenstraat,101,9080,Zaffelare,214.0,592.0,4.0,1.0,1.0,True,165.0,False,1995.0,5.9,https://www.zimmo.be/nl/zaffelare-9080/te-koop/huis/L9Y9G/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=2
L9YFT,Woning (Huis),589000.0,Groenstraat,63D,2870,Breendonk,228.0,1071.0,4.0,1.0,1.0,False,191.0,False,1985.0,6.7,https://www.zimmo.be/nl/breendonk-2870/te-koop/huis/L9YFT/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=2
L2J5B,Woning (Huis),574000.0,Nieuwen Dijk,10,3520,Zonhoven,245.0,811.0,3.0,1.0,1.0,False,492.0,True,1997.0,7.4,https://www.zimmo.be/nl/zonhoven-3520/te-koop/huis/L2J5B/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=2
L9WZ3,Woning (Huis),599000.0,Joseph Smeetslaan,305A,3630,Mechelen-aan-de-Maas,305.0,841.0,5.0,2.0,1.0,False,52.0,False,2023.0,7.5,https://www.zimmo.be/nl/mechelen-aan-de-maas-3630/te-koop/huis/L9WZ3/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=2
L9VDU,Woning (Huis),550000.0,de Borghgravelaan,3,3550,Zolder,250.0,2252.0,4.0,2.0,1.0,True,253.0,False,1992.0,7.6,https://www.zimmo.be/nl/zolder-3550/te-koop/huis/L9VDU/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=3
L9UKF,Woning (Huis),589000.0,Zogge,27,9220,Hamme,354.0,726.0,3.0,2.0,3.0,False,300.0,False,1874.0,6.9,https://www.zimmo.be/nl/hamme-9220/te-koop/huis/L9UKF/?search=eyJmaWx0ZXIiOiB7InN0YXR1cyI6IHsiaW4iOiBbIkZPUl9TQUxFIiwgIlRBS0VfT1ZFUiJdfSwgImNhdGVnb3J5IjogeyJpbiI6IFsiSE9VU0UiLCAiQVBBUlRNRU5UIl19LCAicHJpY2UiOiB7InVua25vd24iOiBmYWxzZSwgInJhbmdlIjogeyJtaW4iOiA1NTAwMDAsICJtYXgiOiA1OTk5OTl9fX19&p=3
